1,Club Social y Deportivo Delfin,A,Unnamed: 0,"4:01,96 18"
,"1) Cairus, Facundo 17","2) Vittori, Giuliano 16","3) Rostan, Matias 18","4) Puyol, Caio 18"
2.0,Carrasco Lawn Tennis Club,A,,"4:09,09 14"
,"1) Grassi, Valentin 16","2) Paez, Juan Pedro 15","3) Seigal, Pedro 18","4) Cuadra, Sebastian 18"
3.0,Centro Sportivo Laureles,A,,"4:21,34 12"
,"1) Coll, Sebastian 15","2) Voelker, Felipe 15","3) Bordoli, Felipe 18","4) Quincke, Bautista 18"
4.0,Club Nacional Nueva Helvecia,A,,"4:25,49 10"
,"1) Demaria, Aaron 17","2) Elizarzu, Tim 17","3) Sonderegger, Paulino 15","4) Silvera, Emiliano 17"
5.0,Club Atletico Esparta,A,,"4:33,65 8"
,"1) Morales, Tomas 16","2) Martinez, Alan 18","3) Garcia, Rodrigo 17","4) Stemphet, Iann Paul 17"
6.0,Nadadores DE Young,A,,"5:04,48 6"
